BIC,description
1,"Steps to reproduce:

1) Create a cinder volume with 1GB
2) Upload the volume created in step 1 to image
3) Create a cinder volume from the image created in step 2

The volume gets created correctly but the disk extend is throwing an exception with message "" A specified parameter was not correct""."
1,"When nova-network is being used, nova-api-metadata requires db access which in some configurations means the compute nodes still connect to the database.
It connects to the db when trying to map the fixed ip address to an instance uuid:
fixed_ip = network.API().get_fixed_ip_by_address(ctxt, address)
This should be changed to do an rpc call to conductor."
1,"With NVP advanced service plugin, router creation is asynchronous while all service call is synchronous, so it is possible that advanced service request is called before edge deployment completed.
One solution is to check the router status before deploying an advanced service. If the router is not in ACTIVE status, the service deployment request would return ""Router not ready"" error."
1,"In preparing the patch for bug 1250596 I found that _destroy_router_namespaces does not properly destroy the metadata proxy.

It may be that it was not called because _destroy_router_namespaces requires a router_info object that is not available in this context. Maru suggested refactoring _destroy_metadata_proxy and _spawn_metadata_proxy to enable this."
1,"If a user tries to upload a file that is larger than 2GiB the upload fails due to an error OverflowError.
Actually this happens in python/socket.py, but it can be fixed either in swift/common/utils.py line 2406 or swift/common/middleware/formpost.py line 245. In both cases it's possible to use a long(-1) as the default instead of None (which would be converted to an int(-1) later on).
Note that this happens on 64bit systems."
0,"at line
https://github.com/openstack/neutron/blob/master/neutron/services/vpn/service_drivers/ipsec.py#L172
it is obvious the router must have gateway interface set then it can be used as vpnservce router."
0,"There was a comment on https://review.openstack.org/#/c/90583/ (after it was approved for merge) to add an extra test case to handle more than 1 ephemeral disk, as well as correct a comment in the code to be more accurate. The purpose of this bug is to add the extra test case for _get_instance_block_device_info to test more than 1 ephemeral disk and correct one of the comments in _get_instance_block_device_info."
0,Current metadata agent supports only http connection to nova metadata service. Implement https support.
0,Fibre Channel zoning code requires that the storage drivers return an initiator_target_map from initialize_connection and terminate_connection.
1,"ofagent's arp responder has some LOG.info which can be triggered by tenant's OSes.
they allow bad tenants flood host logs."
